饥渴	jike
股灾	guzd
工商总局	guzj
工商大学	gudx
工商银行	guyh
归案	gvan
贵宾	gvbb
瑰宝	gvbc
跪拜	gvbd
刚正不阿	gvbe
规避	gvbi
归并	gvbk
诡辩	gvbm
广种薄收	gvbu
鬼才	gvcd|gvc
轨道	gvdc
归档	gvdh
跪地	gvdi
规定	gvdk
国之栋梁	gvdl
归队	gvdv
刚中带柔	gvdr
闺房	gvfh
规范	gvfj
归附	gvfu
贵妃	gvfw
规格	gvge
归根	gvgf
贵庚	gvgg
鬼怪	gvgk
归国	gvgo
桂冠	gvgr
归功	gvgs
硅谷	gvgu
各种各样	gvgy
鬼火	gvho
归还	gvhr
规划	gvhx
鬼扯	gvie
规程	gvig
公众场所	gvis
公众场合	gvih
轨迹	gvji
固执己见	gvjj
贵贱	gvjm
硅胶	gvjn
归结	gvjp
归咎	gvjq
诡谲	gvjt
规矩	gvju
归家	gvjx
管中窥豹	gvkb
贵客	gvke
鬼哭	gvku
归口	gvkz
桂林	gvlb
归来	gvld
贵了	gvle
瑰丽	gvli
归零	gvlk
鬼脸	gvlm
归路	gvlu
规律	gvlv
归类	gvlw
高质量	gvll
诡秘	gvmi
柜面	gvmm
规模	gvmo
鬼魅	gvmw
归纳	gvna
孤枕难眠	gvnm
闺女	gvnv
桂皮	gvpi
规劝	gvqr|gvq
归期	gvqi
归侨	gvqn
跪求	gvqq
归去	gvqu
贵人	gvrf
归入	gvru
甘之如饴	gvry
果真如此	gvrc
公众人物	gvrw
龟缩	gvso
归宿	gvsu
柜台	gvtd
归天	gvtm
龟头	gvtz
归途	gvtu
贵州省	gvug
鬼神	gvuf
归属	gvuu
归顺	gvuy
骨质疏松	gvus
诡诈	gvva
跪着	gvve
规整	gvvg
规章	gvvh
贵重	gvvs
股掌之上	gvvu
贵州	gvvz
公正无私	gvws
归位	gvww
高枕无忧	gvwy
跪下	gvxx|gvx
归西	gvxi
贵姓	gvxk
归降	gvxl
闺秀	gvxq
归隐	gvyb
各执一词	gvyc
贵阳	gvyh
诡异	gvyi
鬼影	gvyk
桂圆	gvyr
桂鱼	gvyu
孤注一掷	gvyv
各种原因	gvyy
规则	gvze|gz
柜子	gvzi
贵族	gvzu
归罪	gvzv
个中滋味	gvzw
公文包	gwbc|gwb
攻无不克	gwbk
过五关斩六将	gwgj|gwg
给回	gwhv|gwh
给出	gwiu|gwi
古往今来	gwjl
古为今用	gwjy
给了	gwle|gwl
给力	gwli
拐弯抹角	gwmj
锅碗瓢盆	gwpp
给钱	gwqm|gwq
各为其主	gwqv
给人	gwrf|gwr
广为人知	gwrv
高危人群	gwrq
姑妄听之	gwtv
个位数	gwuu|gwu
歌舞升平	gwup
鼓舞士气	gwuq
购物中心	gwvx
格物致知	gwvv
狗尾续貂	gwxd
公务员	gwy
给以	gwyi
国务院	gwyr
给予	gwyu
姑妄言之	gwyv
给足	gwzu|gwz
冠心病	gxbk
挂彩	gxcd
挂断	gxdr|gxd
挂到	gxdc
挂挡	gxdh
勾心斗角	gxdj
高姓大名	gxdm
恭喜发财	gxfc
瓜分	gxff
刮风	gxfg
寡妇	gxfu
高消费	gxfw
挂钩	gxgz|gxg
瓜葛	gxge
瓜果	gxgo
改邪归正	gxgv
个性化	gxh
挂号	gxhc
刮痕	gxhf
挂怀	gxhk
关系户	gxhu
刮花	gxhx
寡合	gxhe
挂红	gxhs
更新换代	gxhd
挂出	gxiu|gxi
挂机	gxji|gxj
挂件	gxjm
挂接	gxjp
挂价	gxjx
工薪阶层	gxjc
高新技术	gxju
挂靠	gxkc
刮开	gxkd
挂科	gxke
更新了	gxl
高效率	gxlv
挂了	gxle
挂历	gxli
光鲜亮丽	gxll
刮脸	gxlm
狗血淋头	gxlt
公序良俗	gxls
挂码	gxma
挂满	gxmj
挂名	gxmk
挂面	gxmm
挂念	gxnm|gxn
挂牌	gxpd
瓜皮	gxpi
刮破	gxpo
狗血喷头	gxpt
各行其是	gxqu
甘心情愿	gxqy
滚雪球	gxqq
寡人	gxrf|gxr
隔靴搔痒	gxsy
归心似箭	gxsj
寡头	gxtz
管闲事	gxu
刮痧	gxua
挂上	gxuh
挂失	gxui
挂帅	gxuk
各显神通	gxut
刚想说	gxuo
挂着	gxve|gxv
挂账	gxvh
古稀之年	gxvn
挂职	gxvi
广西壮族自治区	gxvq
广西壮族	gxvz
各项指标	gxvb
攻心为上	gxwu
挂心	gxxb|gxx
挂靴	gxxt
高血压	gxya|gxy
姑息养奸	gxyj
改弦易辙	gxyv
高薪养廉	gxyl
挂在	gxzd|gxz
瓜子	gxzi
关心则乱	gxzl
过一遍	gyb
过意不去	gybq
棍棒	gybh
绲边	gybm
过犹不及	gybj
雇佣兵	gybk
苟延残喘	gyci
各有侧重	gycv
故意的	gyde
滚远点	gydm
过一段	gydr|gyd
滚到	gydc
滚蛋	gydj
告一段落	gydl
滚动	gyds
公用电话	gydh
皈依佛门	gyfm
高压锅	gygo|gyg
工业革命	gygm
滚滚	gygy
各有各好	gygh
国有国法	gygf
滚回	gyhv|gyh
官运亨通	gyht
冠亚军	gyjy|gyj
鬼蜮伎俩	gyjl
滚开	gykd|gyk
狗眼看人	gykr
供应链	gylm
各有利弊	gylb
滚落	gylo
挂一漏万	gylw
滚轮	gyly
顾影弄姿	gynz
工艺品	gypb|gyp
观音菩萨	gyps
滚屏	gypk
公元前	gyqm|gyq
各有千秋	gyqq
国有企业	gyqy
滚热	gyre|gyr
光阴荏苒	gyrr
各有所爱	gysa
各有所好	gysh
各有所长	gysi
光阴似箭	gysj
滚烫	gyth|gyt
过一天算一天	gytt
挂羊头卖狗肉	gytr
滚筒	gyts
工欲善其事	gyuu
工欲善其事，必先利其器	gyuq
更有甚者	gyuv
寡言少语	gyuy
膏腴之地	gyvd
官样文章	gywv
改一下	gyx
逛一下	gyxx
公益性	gyxk
高压线	gyxm
工于心计	gyxj
滚圆	gyyr
歌以咏志	gyyv
过眼云烟	gyyy
固有一死	gyys
棍子	gyzi|gyz
赶鸭子上架	gyzj
顾影自怜	gyzl
工业大学	gydx
够本	gzbf
诟病	gzbk
裹足不前	gzbq
赶早不赶晚	gzbw
工作报告	gzbg
构词	gzci
勾搭	gzda
勾当	gzdh
狗洞	gzds
够胆	gzdj
够多	gzdo
勾兑	gzdv
工作单位	gzdw
购房	gzfh
狗吠	gzfw
够高	gzgc
狗官	gzgr
敢作敢当	gzgd
故作高深	gzgu
敢作敢为	gzgw
鼓足干劲	gzgj
狗狗	gzgz
够好	gzhc|gzh
沟壑	gzhe
够狠	gzhf
篝火	gzho
勾画	gzhx
勾魂	gzhy
工作环境	gzhj
构成	gzig|gzi
购车	gzie
勾出	gziu
够长	gzih
购进	gzjb
钩稽	gzji
构建	gzjm
狗叫	gzjn
勾结	gzjp
构架	gzjx
工作计划	gzjh
够快	gzkk
够了	gzle|gzl
骨子里	gzli
够懒	gzlj
狗嘴里吐不出象牙	gzly
佝偻	gzlz
狗粮	gzll
购买	gzmd
够忙	gzmh
狗命	gzmk
工作能力	gznl
狗屁	gzpi|gzp
狗爬	gzpa
枸杞	gzqi
够呛	gzql
勾芡	gzqm
苟且	gzqp
苟全	gzqr
沟渠	gzqu
狗肉	gzrz
各族人民	gzrm
工作人员	gzry
构思	gzsi
构图	gztu
狗嘴吐不出象牙	gzty
狗头	gztz
狗腿	gztv
工作态度	gztd
工作条件	gztj
勾上	gzuh
工作室	gzu
狗屎	gzui
够受	gzuz
工作时间	gzuj
鼓足士气	gzuq
高增长	gzvh
故作镇定	gzvd
工作证	gzvg
钩针	gzvf
购置	gzvi
钩状	gzvl
构筑	gzvu
购物	gzwu|gzw
狗窝	gzwo
公子王孙	gzws
各自为政	gzwv
勾选	gzxr|gzx
构想	gzxl
购销	gzxn
构陷	gzxm
狗血	gzxp|gzxt
狗熊	gzxs
工作需要	gzxy
鼓足信心	gzxx
勾引	gzyb
狗眼	gzyj
够用	gzys
顾左右而言他	gzyt
鼓足勇气	gzyq
光宗耀祖	gzyz
构造	gzzc
狗仔	gzzd
钩子	gzzi
工作总结	gzzj
工作作风	gzzf
和	h|hehk|hoh|huhk|hohk
化	hxr|hxrb
会	hv|hvr|kkr
行	hh|hgii|hhi|xk|xkii
后	hz|hzpk
好	hc|hcnz
海	hdd|hddm
还	hd|hrz|hrzb
华	hxru
活	hod|hodk
很	hf|hfig
划	hxg
或	ho|hoga
回	hvk|hvkk
环	hrw|hrwb
话	hx|hxyk
壶	huuy
护	huf
户	hu
河	hed
花	hxc|hxcb
何	he|herk
货	hor|horr
获	hoc|hocq
黄	hl|hlcb
号	hck
红	hs|gssg|hssg
火	hodr
挥	hvf|hvfi
汇	hvd
核	hem|humr
湖	hudo
换	hr|hrfd
画	hxa|hxak
航	hhv
黑	hw|hwlh
害	hdb
欢	hry
互	hua|huaa
汉	hjd|hjdy
宏	hsb|hsbs
孩	hdz|hdzr
候	hzr
洪	hsd|hsdb
乎	hup|hupl
呼	huk|hukh
哈	ha|hak|hakk
韩	hju|hjuw
惠	hva|hvax
怀	hkx
胡	huu
含	hj|hjrk
辉	hvxi
厚	hzi|hziz
患	hri|hrix
衡	hgi
坏	hk|hkt|hktb
荒	hlc|hlcv
缓	hrs
伙	horh
恢	hvxh
婚	hyn|hyno
混	hy|hydb
贺	hel|helr
煌	hlh
横	hg|hgmb
毫	hcwm
豪	hcw
徽	hvi|hviw
皇	hlb
杭	hhm
忽	huw|huwx
耗	hcl
绘	hvs
虎	huh
滑	hxd
旱	hjo|hjog
寒	hjb|hjbd
浩	hcd|hcdk
毁	hvj|hvjy
汗	hjdg
喝	hek|hekv
赫	het|hetd
慧	hvfx
淮	hkd|hkdf
荷	hec
灰	hvu
狠	hfq
涵	hjdk
贿	hvko
侯	hzru
恒	hgx|hgxa
唤	hrk|hrkd
函	hjl|hjlk
惑	hog
轰	hsi
鸿	hsdn
弘	hsg|hsgs
喊	hjk|hjkk
焕	hrh
沪	hud
魂	hye|hyeg
霍	hoy|hoyf
盒	herm
糊	hum|humo
悍	hjx|hjxg
巷	hhc|hhcs|xlc
罕	hjbg
幻	hryv
焊	hjh|hjhg
卉	hvuc
浑	hyd|hydi
昏	hyu|hyuo
翰	hjux
祸	hop|hopn
哄	hsk|hskb
恨	hfx
凰	hlj
悔	hvx
郝	hct|hcte
痕	hfb|hfbg
吓	hekx|xxk|xxkx
徊	hki
猴	hzq|hzqu
邯	hjg
呵	hekk|kekk
亨	hgw|hgwl
喉	hzku
慌	hlx|hlxv
秽	hvh
晃	hlo|hlow
撼	hjfx
荟	hvc|hvcs
晖	hvo|hvoi
彗	hvfe
诲	hvy|hvym
槐	hkm|hkmg
潢	hldb
哗	hxk|hxku
宦	hrb
烘	hsh|hshb
豁	hob
葫	huc|huco
狐	huq|huqg
瀚	hjdx
蝴	hui|huio
禾	heq|hepm|heqn
桦	hxm
谎	hly
惶	hlxw
憨	hjv|hjvx
弧	hug|hugg
皓	hcb
菏	heck
捍	hjf
桓	hrm|hrma
簧	hlv|hlvb
璜	hlwb
壑	helt
亥	hdw|hdwr
寰	hrby
珲	hvw|hyw
昊	hco|hcot
涣	hrd
褐	hep|hepv
隳	hve
吼	hzk|hzkv
咳	hdkr|kek|kekr
酣	hjy|hjyg
瑚	huwo
骸	hdg
幌	hljw
湟	hld
蝗	hli
哼	hgk|hgkl
蒿	hcck
诙	hvyh
吭	hhk|hhkj|kgk|kgkj
浒	hudw|xudw
嘿	hwk|hwkh
骇	hdm|hdmr
珩	hgwi
鹄	hun|hunn
壕	hctu
荤	hyc|hyci
蕙	hvcx
琥	huwj
虾	haix|xxi|xxix
隍	hle
徨	hliw
晦	hvom
扈	huhb
灏	hcdr
猾	hxq|hxqg
唬	hukj
麾	hvg|hvgm
阂	hemr
滹	hudh
阖	hemm
氦	hdq
嚎	hcku
劾	hew|hewl
铧	hxj
惚	huxx
馄	hyub
诃	hey
阚	hjm|kjmw
嗨	hdk|hdkm
鼾	hjz|hjzg
訇	hsbk
邗	hjge
蚝	hci|hcim
踝	hkz|hkzg
颔	hjr|hjrr
祜	hupk
桁	hgm|hgmi
蚶	hji
囫	hukw
茴	hvck
晗	hjok
喙	hvku
齁	hzz
洹	hrda
浣	hrde
豢	hrj
貉	hcv|hev|hevk|movk
沆	hhdj
颢	hcor
蘅	hgc|hgci
蕻	hsc
肓	hlwo
蛔	hvik
郇	hrbe|xybe
闳	hsm|hsms
菡	hjc|hjck
篁	hlvw
圜	hrky|yrky
鳇	hla|hlaw
讧	hsy|hsyg
笏	huv|huvw
蟥	hlib
洄	hvdk
诨	hyy|hyyi
绗	hhs|hhsi
嚯	hok|hokf
藿	hocf
曷	heo|heov
铪	haj|hajk
醐	huy|huyo
獾	hrq|hrqf
鬟	hra|hray
虺	hvwi
顸	hjgr
薅	hcc
翮	hea|heax
猢	huqo
怙	hux
唿	hukx
戽	huhu
颃	hhw|hhwr
篌	hzv|hzvu
蠖	hoi|hoiy
槲	humu
萑	hrc|hrcf
癀	hlbb
蟪	hvix
钬	hojh
盍	hetm
荭	hscg
黉	hsx
糇	hzm
骺	hzg|hzgk
鲎	hzx|hzxa
煳	huho
鹕	huun
瓠	hudg
逭	hrzk
漶	hrdx
耠	hol|holk
镬	hoj|hojy
焓	hjhk
瘊	hzb
岵	hue|huek
鹱	huny
咴	hvkh
翙	hvex
溷	hydu
夥	hogx
胲	hdo|hdor
醢	hdy|hdym
撖	hjfw
薨	hscb
堠	hztu
轷	huih
锾	hrjy
缳	hrsy
擐	hrf|hrfy
哕	hvkx|ytkx
阍	hym|hymo
劐	hocd
攉	hof|hoff
砉	hxfu|xuf
翯	hex
姮	hgn|hgna
硊	hvuv
垕	hzp|hzpt
虷	hjig
嵅	hjek
滉	hldw
嬛	hrn|hrny
逅	hzzk
淏	hcdt
鄗	hcwe
嗐	hdkk
盉	hehm
鞨	heg
饸	heuk
龁	hevq
郃	here
垎	hetk
隺	hedf
鹖	heon
熇	heh
龢	herh
鸻	hgin
崡	hje
蔊	hjcg
暵	hjon
㘎	hjkw
喤	hlkw
媓	hln|hlnw
嚄	hoky|ooky
佸	hork
濩	hody
彟	hoe|hoey|ytey
㸌	hohf
鹮	hrsn
荁	hrca
峘	hre|hrea
㬊	hro|hroy
澴	hrdy
貆	hrv|hrva
𤩽	hrwq
吽	hskn
竑	hsl
纮	hsss|hss
翃	hsu
𬭎	hsj|hsjs
𫟹	hsjb
谼	hsbb
昒	huo|huow
昈	huoh
淴	hudx
鄠	huye
嫭	hunh
鳠	huay
橞	hvmx
婳	hxn|hxnk
觟	hxdt
郈	hzpe
鲘	hza|hzak
𬣳	hfyg
𬴃	homu|hom
𬘫	hrse
𬭤	hzju|hzj
虹	hsig
憾	hjxx
讳	hvyw
痪	hrbd
遑	hlzw
鲩	hrae
湖南	hn|hunj
好处	hi|hciu
后面	hm|hzmm
回去	hq|hvqu|hvq
害怕	hp|hdpa|hdp
何必	hb|hebi
后天	ht|hztm
哈达	hada|had
哈佛	hafo|haf
哈哈	haha|hah
和蔼可亲	hakq
哈喽	halz|hal
哈罗	halo
蛤蟆	hama|ham
哈欠	haqm|haq
汉堡包	hbbc|hbb
还不错	hbco|hbc
恨不得	hbde|hbd
还不到	hbdc
货不对板	hbdb
黑白颠倒	hbdd
荷包蛋	hbdj
含苞待放	hbdf
悔不当初	hbdi
祸不单行	hbdx
话不多说	hbdu
恨不得有条地缝钻进去	hbdq
好办法	hbfa|hbf
黑白分明	hbfm
魂不附体	hbft
还本付息	hbfx
还不够	hbgz|hbg
互不干扰	hbgr
会不会	hbhv|hbh
好不好	hbhc
会不会是	hbhu
毫不讳言	hbhy
画饼充饥	hbij
环保局	hbju|hbj
毫不介意	hbjy
还不快	hbkk|hbk
毫不夸张	hbkv
很不客气	hbkq
花不了	hbl
回不来	hbld
毫不利己	hblj
黑不溜秋	hblq
活蹦乱跳	hblt
胡编乱造	hblz
回报率	hblv
哈博罗内	hbln
还不能	hbng|hbn
回不去	hbqu|hbq
怀璧其罪	hbqz
还不如	hbru
好不容易	hbry
货比三家	hbsj
好半天	hbtm|hbt
话不投机	hbtj
化悲痛为力量	hbtl
话不投机半句多	hbtd
还不是	hbui|hbu
湖北省	hbug
虎不食儿	hbue
魂不守舍	hbuu
何不食肉糜	hbum
毫不示弱	hbur
还不止	hbvi|hbv
还不知道	hbvd
缓兵之计	hbvj
花不完	hbwj|hbw
悍不畏死	hbws
还不行	hbxk|hbx
互不相容	hbxr
虎背熊腰	hbxy
互不相欠	hbxq
毫不相干	hbxg
红白喜事	hbxu
后半夜	hbye|hby
含苞欲放	hbyf
毫不犹豫	hbyy
慌不择路	hbzl
好啊	hcaa|hca
毫安	hcan
好吧	hcba
厚此薄彼	hcbb
好报	hcbc
好棒	hcbh
好比	hcbi
好办	hcbj
毫不	hcbu
怀才不遇	hcby
耗材	hccd
好惨	hccj
好大	hcda
好歹	hcdd
浩荡	hcdh
好点	hcdm
好多	hcdo
好动	hcds
好赌	hcdu
好斗	hcdz
好饿	hcee|hce
耗费	hcfw|hcf
毫发	hcfa
豪放	hcfh
好烦	hcfj
好感	hcgj|hcg
好高	hcgc
好乖	hcgk
好过	hcgo
好官	hcgr
好贵	hcgv
壕沟	hcgz
好好	hchc
好喝	hche
好汉	hchj
好坏	hchk
好货	hcho
好黑	hchw
豪华	hchx
号称	hcig
好长	hcih
好吃	hcii
好丑	hciz
耗尽	hcjb
好记	hcji
好觉	hcjn
浩劫	hcjp
好久	hcjq
好客	hcke
祸从口出	hcki
好看	hckj
好快	hckk
好困	hcky
好啦	hcla
好了	hcle
好冷	hclg
毫厘	hcli
号令	hclk
好脸	hclm
好累	hclw
花丛老手	hclu
号码	hcma
毫毛	hcmc
豪迈	hcmd
豪门	hcmf
好梦	hcmg
好忙	hcmh
毫米	hcmi
好慢	hcmj
毫秒	hcmn
好美	hcmw
好难	hcnj|hcn
耗能	hcng
好评	hcpk|hcp
好怕	hcpa
好奇	hcqi|hcq
豪情	hcqk
好巧	hcqn
好强	hcql
好球	hcqq
耗去	hcqu
好人	hcrf|hcr
好让	hcrh
浩然	hcrj
好软	hcrr
好热	hcre
好似	hcsi|hcs
好色	hcse
耗损	hcsy
嚎啕	hctc
好疼	hctg
好痛	hcts
祸从天降	hctj
好听	hctk
好帖	hctp
好少	hcuc
耗神	hcuf
毫升	hcug
好事	hcui
豪爽	hcul
获此殊荣	hcur
花草树木	hcum
好说	hcuo
好书	hcuu
好耍	hcux
好受	hcuz
号召	hcvc
豪宅	hcvd
好战	hcvj
好转	hcvr
号外	hcwd
好文	hcwf
好玩	hcwj
毫无	hcwu
好像	hcxl|hcx
好心	hcxb
好戏	hcxi
好险	hcxm
好笑	hcxn
好些	hcxp
好悬	hcxr
好凶	hcxs
好学	hcxt
豪侠	hcxx
好友	hcyz|hcy
好呀	hcya
豪饮	hcyb
好意	hcyi
好远	hcyr
好用	hcys
好运	hcyy
好于	hcyu
好在	hczd|hcz
耗子	hczi
好做	hczo
好走	hczz
海岸	hdan|hda
海拔	hdba
海滨	hdbb
海报	hdbc
荒诞不经	hdbj
害病	hdbk
海边	hdbm
还不	hdbu
虎毒不食子	hdbz
好多次	hdci|hdc
喝倒彩	hdcd
海草	hdcc
黄赌毒	hddu
还得	hddw
海盗	hddc
海带	hddd
海底	hddi
海胆	hddj
横刀夺爱	hdda
好大的面子	hddz
海风	hdfg|hdf
红得发紫	hdfz
海港	hdgh
海关	hdgr
骸骨	hdgu
海龟	hdgv
划等号	hdh
还好	hdhc
海涵	hdhj
海货	hdho
或多或少	hdhu
还会	hdhv
忽大忽小	hdhx
很多很多	hdhd
鹤顶红	hdhs
何德何能	hdhn
还差	hdia|hdi
还长	hdih
海产	hdij
害虫	hdis
害处	hdiu
海军	hdjy|hdj
海景	hdjk
还将	hdjl
黄道吉日	hdjr
害苦	hdku
还看	hdkj
海口	hdkz
好多了	hdl
害了	hdle
海浪	hdlh
海里	hdli
海量	hdll
海螺	hdlo
洪都拉斯	hdls
海路	hdlu
海底捞针	hdlv
海轮	hdly
横刀立马	hdlm
海马	hdma
海绵	hdmm
还没	hdmw
很多年	hdn
好多年	hdnm
还能	hdng
海南	hdnj
海鸟	hdnn
海内	hdnw
很多年前	hdnq
海鸥	hdou
红灯区	hdqu
很多人	hdr
害人	hdrf
还算	hdsr|hds
害臊	hdsc
害死	hdsi
海豚	hdty
海涛	hdtc
海棠	hdth
孩提	hdti
海滩	hdtj
孩童	hdts
还是	hdui|hdu
还说	hduo
海上	hduh
海水	hduv
海参	hduf
还剩	hdug
海蜇	hdve|hdv
海中	hdvs
海战	hdvj
海外	hdwd
海湾	hdwj
画地为牢	hdwl
还未	hdww
还行	hdxk|hdx
还想	hdxl
海鲜	hdxm
海啸	hdxn
害羞	hdxq
海选	hdxr
还需	hdxu
海峡	hdxx
蝴蝶效应	hdxy
邯郸学步	hdxb
好大喜功	hdxg
黑灯瞎火	hdxh
还有	hdyz
海牙	hdya
还要	hdyc
海洋	hdyh
骇异	hdyi
海燕	hdyj
还远	hdyr
还用	hdys
海域	hdyu
海运	hdyy
还早	hdzc
还在	hdzd
海葬	hdzh
孩子	hdzi
厚德载物	hdzw
话到嘴边	hdzb
华东师范大学	hdux
和蔼	heai
河岸	hean
哈尔滨	hebb|heb
荷包	hebc
惠而不费	hebf
合办	hebj
合并	hebk
含而不露	hebl
河边	hebm
怙恶不悛	hebq
和而不同	hebt
何不	hebu
河北	hebw
喝彩	hecd
何曾	hecg
贺词	heci
河道	hedc
花儿朵朵	hedd
何等	hedg
何地	hedi
核弹	hedj
核定	hedk
喝点	hedm
核对	hedv
合法	hefa
和风	hefg
何方	hefh
盒饭	hefj
和服	hefu
合肥	hefw
合格	hege
何故	hegu
合规	hegv
河沟	hegz
和好	hehc
皇恩浩荡	hehd
呵呵	hehe
合伙	heho
和缓	hehr
呵护	hehu
荷花	hehx
喝茶	heia
合成	heig
合唱	heih
呵斥	heii
河床	heil
河川	heir
何处	heiu
何愁	heiz
华尔街	hej
合金	hejb
合计	heji
和解	hejp
喝酒	hejq
和局	heju
阖家	hejx
贺卡	heka
何况	hekl
何苦	heku
河口	hekz
何来	held
合理	heli
荷兰	helj
喝令	helk
河流	helq
合拢	hels
河马	hema
禾苗	hemn
和睦	hemu
和美	hemw
合谋	hemz
荷尔蒙	hemg
河南	henj|hen
核能	heng
和暖	henr
河内	henw
合拍	hepd
核批	hepi
河畔	hepj
和平	hepk
和亲	heqb
和气	heqi
何求	heqq
合群	heqy
何人	herf
何日	heri
赫然	herj
何如	heru
褐色	hese
核算	hesr
贺岁	hesv
核桃	hetc
喝汤	heth
合体	heti
何谈	hetj
合同	hets
河豚	hety
合身	heuf
和声	heug
和尚	heuh
合适	heui
和善	heuj
喝水	heuv
和顺	heuy
合照	hevc
合掌	hevh
何止	hevi
盒装	hevl
何种	hevs
核准	hevy
喝问	hewf
喝完	hewj
何物	hewu
何谓	heww
合二为一	hewy
和谐	hexp
核心	hexb
河西	hexi
赫尔辛基	hexj
鹤形	hexk
和弦	hexm
核销	hexn
何须	hexu
荷叶	heye
何以	heyi
合眼	heyj
合影	heyk
何用	heys
合约	heyt
盒子	hezi
华尔兹	hez
何在	hezd
合葬	hezh
合作	hezo
合租	hezu
喝醉	hezv
合奏	hezz
哈尔滨工业大学	hebx
很爱	hfai|hfa
很暗	hfan
很薄	hfbc
很白	hfbd
很笨	hfbf
很棒	hfbh
豪放不羁	hfbj
很不	hfbu
很惨	hfcj|hfc
很多	hfdo|hfd
很大	hfda
很低	hfdi
很淡	hfdj
很短	hfdr
狠毒	hfdu
很对	hfdv
很烦	hffj|hff
很高	hfgc|hfg
很广	hfgl
很贵	hfgv
很好	hfhc|hfh
狠狠	hfhf
很坏	hfhk
很火	hfho
很会	hfhv
很黑	hfhw
呼风唤雨	hfhy
很厚	hfhz
很长	hfih|hfi
很差	hfia
很沉	hfif
很吵	hfic
很迟	hfii
很丑	hfiz
很冲	hfis
很久	hfjq|hfj
很近	hfjb
痕迹	hfji
鹤发鸡皮	hfjp
很快	hfkk|hfk
很卡	hfka
很宽	hfkr
很酷	hfku
很困	hfky
恢复了	hfle|hfl
狠辣	hfla
很老	hflc
很冷	hflg
很烂	hflj
很累	hflw
很忙	hfmh|hfm
很猛	hfmg
很慢	hfmj
狠命	hfmk
很妙	hfmn
很美	hfmw
很难	hfnj|hfn
很牛	hfnq
很怕	hfpa|hfp
很胖	hfph
魂飞魄散	hfps
很强	hfql
很浅	hfqm
很巧	hfqn
很全	hfqr
洪福齐天	hfqt
很热	hfre|hfr
很弱	hfro
很酸	hfsr|hfs
恨死	hfsi
很松	hfss
很痛	hfts|hft
很烫	hfth
很甜	hftm
魂飞天外	hftw
鹤发童颜	hfty
恨透	hftz
很少	hfuc|hfu
很傻	hfua
很深	hfuf
很是	hfui
很帅	hfuk
很爽	hful
很熟	hfuu
很重	hfvs|hfv
狠招	hfvc
很窄	hfvd
后发制人	hfvr
狠抓	hfvx
很晚	hfwj|hfw
虎父无犬子	hfwz
狠心	hfxb
很想	hfxl
很咸	hfxm
很小	hfxn
很凶	hfxs
后发先至	hfxv
和风细雨	hfxy
化腐朽为神奇	hfxq
很严	hfyj
很硬	hfyk
灰飞烟灭	hfym
很远	hfyr
环肥燕瘦	hfyu
很有	hfyz
话锋一转	hfyv
很早	hfzc|hfz
很脏	hfzh
哈佛大学	hfdx
汇丰银行	hfyh
横财	hgcd
横渡	hgdu
恒定	hgdk
哈根达斯	hgds
横幅	hgfu|hgf
回光返照	hgfv
横贯	hggr|hgg
化干戈为玉帛	hggb
横亘	hggf
横杠	hggh
横杆	hggj
回个话	hghx|hgh
哼哼	hghg
横祸	hgho
横陈	hgif
哼唱	hgih
横穿	hgir
哼唧	hgji
恒久	hgjq
宏观经济	hgjj
横跨	hgkx
衡量	hgll
黑咕隆咚	hgld
横蛮	hgmj
横眉	hgmw
横盘	hgpj|hgp
横批	hgpi
横排	hgpd
昏过去	hgqu|hgq
横切	hgqp
缓过气来	hgql
灰姑娘	hgnl
回锅肉	hgr
横肉	hgrz
横扫	hgsc|hgs
横死	hgsi
回过头	hgtz|hgt
回过头来	hgtl
横条	hgtn
回过头去	hgtq
宏观调控	hgtk
花果山	hgu
横竖	hguu
怀古伤今	hguj
湖光山色	hgus
回过神来	hgul
合格证	hgvg|hgv
横着	hgve
后顾之忧	hgvy
恒温	hgwf
横卧	hgwo
好高骛远	hgwy
恒心	hgxb
恒星	hgxk
横向	hgxl
横线	hgxm
花鼓戏	hgxi
欢歌笑语	hgxy
很感兴趣	hgxq
衡阳	hgyh|hgy
横溢	hgyi
缓过一口气	hgyq
祸国殃民	hgym
好钢用在刀刃上	hgyu
横越	hgyt
横在	hgzd|hgz
横遭	hgzc
后果自负	hgzf
悔过自新	hgzx
好果子吃	hgzi
还好吧	hhb
惶惶不安	hhba
好话不说二遍	hhbb
好坏不分	hhbf
航班	hhbj
含糊不清	hhbq
呵护备至	hhbv
好汉不提当年勇	hhby
好汉不吃眼前亏	hhbk
航标	hhbn
惶惶不可终日	hhbr
还好不是	hhbu
花花草草	hhcc
黄花菜	hhcd
行次	hhci
航道	hhdc
呼呼大睡	hhdu
浩浩荡荡	hhdd
行当	hhdh
哈哈大笑	hhdx
浑浑噩噩	hhee
哼哈二将	hhej
何海峰	hhfg|hhf
行规	hhgv|hhg
黄花闺女	hhgn
花花公子	hhgz
哈哈哈	hhha|hhh
黑乎乎	hhhu
航海	hhhd
画虎画皮难画骨	hhhg
恍恍惚惚	hhhh
行货	hhho
好合好散	hhhs
呼和浩特	hhht
行话	hhhx
航程	hhig
昏昏沉沉	hhii
花花肠子	hhiz
行行出状元	hhiy
行家	hhjx
行距	hhju
哼哼唧唧	hhjj
航空	hhks
行列	hhlp|hhl
