拆分：乛豕	彖
拆分：士石	磬
拆分：礻土	社
拆分：礻阝	祁
拆分：出小	祟
拆分：丿小	祭
拆分：礻内	祸
拆分：礻土	禋
拆分：礻田	福
拆分：礻豕	禒
拆分：丿乀	秉
拆分：宀力	穷
拆分：宀夕	穸
拆分：宀工	空
拆分：宀犬	突
拆分：宀刀	窃
拆分：宀乍	窄
拆分：宀目	窅
拆分：宀力	窈
拆分：宀缶	窑
拆分：宀土	窒
拆分：宀口	窖
拆分：宀夂	窗
拆分：宀口	窘
拆分：宀出	窟
拆分：宀果	窠
拆分：宀十	窣
拆分：宀大	窦
拆分：宀日	窨
拆分：宀刂	窬
拆分：宀女	窭
拆分：宀心	窸
拆分：宀生	窿
拆分：立厶	竑
拆分：立夂	竣
拆分：𥫗阝	筇
拆分：𥫗攵	筱
拆分：𥫗儿	篼
拆分：𥫗人	簌
拆分：𥫗皿	簠
拆分：𥫗日	簪
拆分：𥫗寸	簿
拆分：𥫗日	籍
拆分：𥫗艹	籥
拆分：出米	粜
拆分：西米	粟
拆分：米日	糌
拆分：艹米	糵
拆分：文小	紊
拆分：龶小	素
拆分：十小	索
拆分：田小	累
拆分：士又	縠
拆分：广小	縻
拆分：丿小	繇
拆分：龶小	纛
拆分：纟厶	纮
拆分：纟丶	练
拆分：纟彐	绉
拆分：纟月	绢
拆分：纟夂	绫
拆分：纟电	绳
拆分：纟巾	绵
拆分：纟口	绺
拆分：纟又	缀
拆分：纟田	缁
拆分：纟耳	缉
拆分：纟日	缗
拆分：纟寸	缚
拆分：纟果	缫
拆分：纟人	缬
拆分：纟小	缭
拆分：纟攵	缴
拆分：缶夬	缺
拆分：冂缶	罂
拆分：士缶	罄
拆分：罒电	罨
拆分：罒灬	罴
拆分：罒刂	罽
拆分：𦍌大	美
拆分：⺶夂	羧
拆分：𦍌大	羹
拆分：𠂇习	翃
拆分：十习	翅
拆分：甲习	翈
拆分：十习	翰
拆分：白习	翱
拆分：习八	翼
拆分：罒习	翾
拆分：耂匕	老
拆分：耂日	者
拆分：耂日	耆
拆分：丰乀	耒
拆分：大耳	耷
拆分：龙耳	聋
拆分：内人	肉
拆分：⺌月	肖
拆分：户月	肩
拆分：止月	肯
拆分：月厶	肱
拆分：亠月	育
拆分：月丨	肺
拆分：田月	胃
拆分：冫月	脊
拆分：月子	脖
拆分：月寸	脟
拆分：月内	脶
拆分：月电	腌
拆分：广人	腐
拆分：月皿	腽
拆分：月寸	膊
拆分：月氺	膝
拆分：尸月	臀
拆分：尸月	臂
拆分：丿目	自
拆分：丿乀	臾
拆分：舟又	艘
拆分：丨丨	芈
拆分：艹丨	芾
拆分：艹乛	苑
拆分：艹乛	范
拆分：艹木	荣
拆分：艹牛	荦
拆分：艹火	荧
拆分：艹子	荸
拆分：艹攵	莜
拆分：艹大	莫
拆分：艹内	莴
拆分：艹玉	莹
拆分：艹鸟	莺
拆分：艹米	菊
拆分：艹禾	菌
拆分：艹口	菩
拆分：艹石	菪
拆分：艹夂	菱
拆分：艹且	菹
拆分：艹缶	萄
拆分：艹臼	萏
拆分：艹虫	萤
拆分：艹小	萦
拆分：艹又	葭
拆分：艹心	葱
拆分：艹天	葵
拆分：艹耳	葺
拆分：艹乀	蒎
拆分：艹小	蒜
拆分：艹口	蒟
拆分：艹月	蒴
拆分：艹灬	蒸
拆分：艹八	蓂
拆分：艹田	蓄
拆分：艹日	蓍
拆分：艹刂	蓟
拆分：艹马	蓦
拆分：艹人	蓰
拆分：艹人	蔌
拆分：艹儿	蔸
拆分：艹攵	蔹
拆分：艹攵	蔽
拆分：艹心	蕊
拆分：艹生	蕤
拆分：艹人	蕨
拆分：艹皿	蕴
拆分：艹寸	薄
拆分：艹十	薜
拆分：艹土	薹
拆分：艹木	藁
拆分：艹日	藉
拆分：艹儿	藐
拆分：艹灬	藨
拆分：艹田	藩
拆分：艹木	蘖
拆分：艹辶	蘧
拆分：艹非	蘼
拆分：中丶	虫
拆分：天虫	蚕
拆分：虫皿	蛊
拆分：虫牛	蛑
拆分：亠虫	蛮
拆分：虫月	蜎
拆分：虫内	蜗
拆分：宀虫	蜜
拆分：虫羌	蜣
拆分：虫电	蝇
拆分：虫女	蝘
拆分：虫田	蝠
拆分：龴虫	蝥
拆分：虫刂	蝲
拆分：虫木	蝶
拆分：虫八	螟
拆分：土虫	螫
拆分：龶虫	螯
拆分：夂虫	螽
拆分：虫十	蟀
拆分：龴虫	蟊
拆分：虫口	蟾
拆分：虫虫	蠋
拆分：虫又	蠖
拆分：丷虫	蠲
拆分：虫又	蠼
拆分：衤夬	袂
拆分：龙𧘇	袭
拆分：十𧘇	裁
拆分：衤又	裰
拆分：衤口	褡
拆分：衤寸	褥
拆分：宀𧘇	褰
拆分：衤白	褶
拆分：衤口	襜
拆分：尸𧘇	襞
拆分：𠂊夬	觖
拆分：𠂊虫	触
拆分：士又	觳
拆分：𠂊口	詹
拆分：宀口	謇
拆分：尸口	譬
拆分：讠十	讯
拆分：讠夬	诀
拆分：讠彐	诌
拆分：讠臼	谄
拆分：讠亏	谔
拆分：讠日	谮
拆分：讠口	谲
拆分：讠口	谵
拆分：八口	谷
拆分：冂人	贝
拆分：工人	贡
拆分：龶人	责
拆分：冂攵	败
拆分：人人	贪
拆分：弋人	贰
拆分：中人	贵
拆分：西人	贾
拆分：十人	赍
拆分：广人	赓
拆分：冂口	赔
拆分：龶人	赘
拆分：冂寸	赙
拆分：亡凡	赢
拆分：立人	赣
拆分：土攵	赦
拆分：土彐	趋
拆分：𧾷乐	跞
拆分：𧾷口	踣
拆分：宀人	蹇
拆分：𧾷臼	蹈
拆分：戊人	蹙
拆分：𧾷月	蹦
拆分：丶人	蹩
拆分：𧾷寸	蹰
拆分：𧾷人	蹶
拆分：𧾷小	蹽
拆分：𧾷虫	躅
拆分：𧾷土	躔
拆分：𧾷又	躞
拆分：车乐	轹
拆分：十车	载
拆分：车又	辍
拆分：车田	辎
拆分：车田	辐
拆分：车耳	辑
拆分：十十	辜
拆分：千十	辞
拆分：立十	辩
拆分：立十	辫
拆分：厂寸	辱
拆分：辶丨	逄
拆分：辶夂	逡
拆分：辶攵	遨
拆分：辶灬	遮
拆分：辶口	遹
拆分：辶十	避
拆分：辶攵	邀
拆分：又阝	邓
拆分：𠂊阝	邹
拆分：乂阝	郄
拆分：立阝	部
拆分：口阝	鄂
拆分：西阝	鄄
拆分：雨阝	鄠
拆分：雨阝	酃
拆分：山阝	酆
拆分：酉夂	酸
拆分：酉寸	酹
拆分：酉口	醅
拆分：丿木	采
拆分：丨一	里
拆分：丿一	重
拆分：钅己	铠
拆分：钅内	锅
拆分：钅寸	锊
拆分：钅巾	锦
拆分：钅口	锫
拆分：钅田	锱
拆分：钅臼	锸
拆分：钅又	锼
拆分：钅寸	镈
拆分：钅乃	镌
拆分：钅木	镍
拆分：钅人	镢
拆分：钅小	镣
拆分：钅虫	镯
拆分：钅丶	镵
拆分：门人	闪
拆分：门口	问
拆分：门日	间
拆分：门心	闷
拆分：门耳	闻
拆分：门虫	闽
拆分：门电	阉
拆分：门臼	阎
拆分：门犬	阒
拆分：门皿	阖
拆分：门人	阙
拆分：阝土	陛
拆分：阝土	陧
拆分：阝口	陪
拆分：阝夂	陵
拆分：阝缶	陶
拆分：阝臼	陷
拆分：阝辶	随
拆分：亻十	隼
拆分：亻木	集
拆分：雨又	霞
拆分：雨十	霹
拆分：龶月	青
拆分：𠂒非	靠
拆分：广非	靡
拆分：厂面	靥
拆分：廿丨	革
拆分：革米	鞠
拆分：革冉	鞲
拆分：革口	韂
拆分：韦臼	韬
拆分：丁人	顶
拆分：干人	顸
拆分：工人	项
拆分：亠人	颃
拆分：匕人	颍
拆分：匕人	颖
拆分：日人	题
拆分：口人	颚
拆分：止十	颦
拆分：立乂	飒
拆分：几又	飕
拆分：犬乂	飙
拆分：饣臼	馅
拆分：饣又	馊
拆分：禾子	馞
拆分：乛一	马
拆分：马彐	驺
拆分：口马	骂
拆分：马夂	骏
拆分：阝马	骘
拆分：马天	骙
拆分：马虫	骚
拆分：龴马	骛
拆分：龶马	骜
拆分：宀马	骞
拆分：马子	骣
拆分：马八	骥
拆分：骨虫	髑
拆分：骨辶	髓
拆分：乂匕	鬯
拆分：丿厶	鬼
拆分：二鬼	魂
拆分：白鬼	魄
拆分：厂鬼	魇
拆分：广鬼	魔
拆分：𭕄鱼	鲎
拆分：龹鱼	鲞
拆分：鱼夂	鲮
拆分：鱼田	鲻
拆分：龶鱼	鳌
拆分：丶鱼	鳖
拆分：鱼人	鳜
拆分：又鸟	鸡
拆分：弋鸟	鸢
拆分：甲鸟	鸭
拆分：夕鸟	鸳
拆分：亻鸟	鸺
拆分：氵鸟	鸿
拆分：十鸟	鹁
拆分：口鸟	鹃
拆分：龴鸟	鹜
拆分：习鸟	鹨
拆分：大鸟	鹩
拆分：龴鸟	鹬
拆分：广鸟	鹰
拆分：𭕄八	黉
拆分：厂黑	黡
拆分：士又	鼓
拆分：人禾	龢
拆分：亻丨	侨
拆分：习力	勠
拆分：土七	圫
拆分：丨	奉
拆分：女丨	娇
拆分：女皿	媪
拆分：山丨	峤
拆分：龶山	嶅
拆分：山口	嶦
拆分：广小	廪
拆分：土廾	弆
拆分：乛心	憨
拆分：忄小	懔
拆分：扌乀	掖
拆分：扌臼	摏
拆分：十	斟
拆分：木乐	栎
拆分：木丨	桥
拆分：木田	榃
拆分：木𧘇	榱
拆分：木小	橑
拆分：西人	歅
拆分：歹又	殁
拆分：必	毖
拆分：氵子	浡
拆分：氵乀	液
拆分：氵巴	潖
拆分：氵八	潩
拆分：氵又	瀔
拆分：火习	熻
拆分：王力	珕
拆分：矢丨	矫
拆分：石夬	砄
拆分：石己	硙
拆分：石丨	硚
拆分：禾良	稂
拆分：禾	稌
拆分：宀鸟	窎
拆分：𥫗小	簝
拆分：纟𧘇	缞
拆分：月乀	腋
拆分：丶艮	良
拆分：艹土	茔
拆分：艹十	茕
拆分：艹丨	荞
拆分：艹水	荥
拆分：艹寸	荮
拆分：艹𧘇	蓑
拆分：虫又	螋
拆分：亠𧘇	裛
拆分：丨	觇
拆分：一	觏
拆分：虍	觑
拆分：𠂊口	觿
拆分：讠口	诇
拆分：讠夂	谡
拆分：讠口	谪
拆分：厂人	赝
拆分：冂口	赡
拆分：车丨	轿
拆分：纟口	辔
拆分：山阝	酅
拆分：丨金	鉴
拆分：钅丶	钹
拆分：钅乐	铄
拆分：钅口	镝
拆分：门天	阕
拆分：一一	面
拆分：革丨	鞒
拆分：革口	鞳
拆分：韦皿	韫
拆分：丨良	餐
拆分：饣子	饽
拆分：饣皿	馌
拆分：马丨	骄
拆分：马心	骢
拆分：鱼虫	鲺
拆分：鱼田	鲾
拆分：鱼白	鳛
拆分：鱼又	鳠
拆分：大鸟	鹌
拆分：𠂊鸟	鹐
拆分：口鸟	鹗
拆分：丿鸟	鹠
拆分：臼女	鼹
拆分：自且	齇
拆分：文丨	齑
拆分：土丨	鿍
拆分：日良	㫰
拆分：一丨	事
拆分：亻	伣
拆分：亻良	俍
拆分：力	勘
拆分：口艮	哏
拆分：土艮	垠
拆分：土良	埌
拆分：女良	娘
拆分：女乀	娠
拆分：宀乀	宸
拆分：山	岘
拆分：山良	崀
拆分：巾	帮
拆分：彳艮	很
拆分：彳	徐
拆分：忄艮	恨
拆分：忄良	悢
拆分：戈	戡
拆分：扌乀	振
拆分：扌	揽
拆分：扌	搅
拆分：日乀	晨
拆分：木	枧
拆分：木艮	根
拆分：木良	桹
拆分：木	梌
拆分：木	榄
拆分：人	欺
拆分：匕	比
拆分：氵良	浪
拆分：氵	涂
拆分：氵	滁
拆分：氵刂	瀱
拆分：火良	烺
拆分：犭艮	狠
拆分：犭	狳
拆分：犭良	狼
拆分：王	现
拆分：王艮	珢
拆分：王良	琅
拆分：疒艮	痕
拆分：白	皆
拆分：丨皿	监
拆分：目艮	眼
拆分：石	砚
拆分：石艮	硍
拆分：禾龶	稚
拆分：𥫗	笕
拆分：𥫗良	筤
拆分：米良	粮
拆分：纟	缆
拆分：舟	舰
拆分：舟	艅
拆分：又艮	艰
拆分：艹	苋
拆分：艹艮	茛
拆分：艹	荼
拆分：艹良	莨
拆分：艹良	蒗
拆分：虍天	虞
拆分：虫	蚬
拆分：虫	蜍
拆分：虫	蠢
拆分：衤艮	裉
拆分：工	觋
拆分：十	觌
拆分：人	觎
拆分：廿	觐
拆分：龹口	誊
拆分：冂乀	赈
拆分：𧾷艮	跟
拆分：𧾷良	踉
拆分：辶	途
拆分：酉	酴
拆分：酉良	酿
拆分：钅艮	银
拆分：钅良	锒
拆分：钅乛	镴
拆分：门良	阆
拆分：阝艮	限
拆分：阝	除
拆分：亻龶	雠
拆分：雨乀	震
拆分：口良	饕
拆分：骨	髋
拆分：鸟匕	鸵
拆分：罒鸟	鹮
拆分：鸟又	鹱
拆分：止艮	龈
拆分：𭕄石	𬒈
拆分：鱼	𬶨
拆分：亻丶	㑊
拆分：火龶	㸌
拆分：乛一	丝
拆分：𠂊丨	争
拆分：人十	伞
拆分：亻龶	傕
拆分：亻龶	傩
拆分：亻龶	催
拆分：冫丨	净
拆分：冫龶	准
拆分：口龶	唯
拆分：口龶	嚯
拆分：土一	域
拆分：土龶	堆
拆分：山丨	峥
拆分：山龶	崔
拆分：山凵	崡
拆分：巾龶	帷
拆分：忄丨	怿
拆分：忄龶	惟
拆分：戈一	或
拆分：扌丨	择
拆分：扌丨	挣
拆分：扌龶	推
拆分：扌龶	摊
拆分：扌龶	摧
拆分：辶龶	暹
拆分：木一	棫
拆分：木龶	椎
拆分：木龶	榷
拆分：歹一	殛
拆分：氵丨	泽
拆分：氵凵	涵
拆分：氵龶	淮
拆分：氵龶	滩
拆分：氵龶	漼
拆分：氵龶	潍
拆分：氵龶	灌
拆分：火辶	煺
拆分：犭丨	狰
拆分：王龶	琟
拆分：王丨	琤
拆分：王龶	璀
拆分：王龶	瓘
拆分：疒龶	瘫
拆分：目丨	睁
拆分：目龶	睢
拆分：石龶	碓
拆分：立丨	竫
拆分：𥫗丨	筝
拆分：纟丨	绎
拆分：纟龶	维
拆分：缶龶	罐
拆分：习龶	翟
拆分：月辶	腿
拆分：艹凵	菡
拆分：艹龶	萑
拆分：艹龶	蔺
拆分：艹龶	藿
拆分：虫天	蜈
拆分：虫一	蜮
拆分：衤辶	褪
拆分：讠丨	译
拆分：讠丨	诤
拆分：讠龶	谁
拆分：辶丶	迹
拆分：辶艮	退
拆分：丿阝	郫
拆分：钅丨	铎
拆分：钅丨	铮
拆分：钅龶	锥
拆分：门一	阈
拆分：又龶	难
拆分：厂龶	雁
拆分：户龶	雇
拆分：矢龶	雉
拆分：勹龶	雊
拆分：止龶	雌
拆分：亠龶	雍
拆分：夂龶	雒
拆分：冂龶	雕
拆分：雨龶	霍
拆分：龶丨	静
拆分：丷一	馘
拆分：马丨	驿
拆分：马龶	骓
拆分：马乀	骤
拆分：鬼龶	魋
拆分：丝鸟	鸶
拆分：丿鸟	鹎
拆分：黑乛	黔
拆分：黑丿	黪
拆分：禾丿	䅟
拆分：豸乂	䝙
拆分：一一	一
拆分：一一	与
拆分：一乛	丏
拆分：一乛	丐
拆分：丨一	业
拆分：一丶	丽
拆分：丶乀	之
拆分：丿一	乌
拆分：丿丨	乎
拆分：丿之	乏
拆分：乛乛	乜
拆分：丿乛	九
拆分：乛乛	也
拆分：也母	乸
拆分：一业	亚
拆分：丨一	凸
拆分：丨一	凹
拆分：业凵	凿
拆分：乛一	刁
拆分：勹丶	勺
拆分：勹凵	匈
拆分：勹甫	匍
拆分：匚王	匡
拆分：匚甲	匣
拆分：匚九	匦
拆分：匚非	匪
拆分：匚人	匮
拆分：匚儿	匹
拆分：匚乂	区
拆分：匚矢	医
拆分：匚口	匼
拆分：匚艹	匾
拆分：匚口	匿
拆分：丿廾	升
拆分：丨丶	卜
拆分：匚口	叵
拆分：王口	噩
拆分：一𧘇	囊
拆分：小丿	少
拆分：一乛	屯
拆分：丿丨	川
拆分：一一	工
拆分：幺乛	幻
拆分：弓丨	引
拆分：弓也	弛
拆分：弓长	张
拆分：弓瓜	弧
拆分：虍丿	彪
拆分：丿丨	斤
拆分：一丶	枣
拆分：氵木	梁
拆分：丿乛	毛
拆分：毛毛	毳
拆分：丿乛	氏
拆分：丶乀	永
拆分：一丶	求
拆分：丿乀	爪
拆分：爿羊	牂
拆分：一丿	牙
拆分：丿乀	瓜
拆分：一丶	瓦
拆分：匚瓦	瓯
拆分：丿用	甪
拆分：一丶	甫
拆分：不用	甭
拆分：一凵	画
拆分：弓一	疆
拆分：乛一	疍
拆分：乛一	登
拆分：丿丶	禹
拆分：禾乃	秀
拆分：禾中	种
拆分：禾十	科
拆分：禾少	秒
拆分：禾必	秘
拆分：禾术	秫
拆分：禾巨	秬
拆分：禾丿	秭
拆分：禾农	秾
拆分：禾豕	稼
拆分：禾丿	穆
拆分：⺶乛	羌
拆分：尹羊	群
拆分：艹口	苘
拆分：虍一	虐
拆分：虍业	虚
拆分：血不	衃
拆分：豸勺	豹
拆分：豸才	豺
拆分：豸一	貆
拆分：丿丿	身
拆分：身弓	躬
拆分：身乂	躯
拆分：丿乀	长
拆分：非一	韭
拆分：乛丶	飞
拆分：禾必	馝
拆分：一也	髢
拆分：黑犬	默
拆分：黑出	黜
拆分：黑力	黝
拆分：黑夕	黟
拆分：黑口	黠
拆分：黑夂	黢
拆分：黑小	黥
拆分：黑大	黩
拆分：黑日	黯
拆分：乃乛	鼐
拆分：女用	㛚
拆分：山尤	㠇
拆分：山乀	㠓
拆分：扌匚	㧟
拆分：丶木	㮾
拆分：氵戍	㳚
拆分：火用	㶲
拆分：王亏	㻬
拆分：月专	䏝
拆分：月丿	䏲
拆分：讠斤	䜣
拆分：钅丶	䥽
拆分：一乀	丈
拆分：丨一	且
拆分：一内	丙
拆分：一丶	两
拆分：丿厶	么
拆分：千乛	乱
拆分：二丨	亍
拆分：亠一	亶
拆分：亻乛	亿
拆分：亻卜	仆
拆分：亻九	仇
拆分：亻乃	仍
拆分：亻也	他
拆分：亻丈	仗
拆分：亻刃	仞
拆分：亻乞	仡
拆分：亻中	仲
拆分：亻丨	价
拆分：亻壬	任
拆分：亻尹	伊
拆分：亻及	伋
拆分：亻尤	优
拆分：亻乂	伛
拆分：亻韦	伟
拆分：亻专	传
拆分：亻牙	伢
拆分：亻长	伥
拆分：亻一	伫
拆分：亻申	伸
拆分：亻丕	伾
拆分：亻一	但
拆分：亻氐	低
拆分：亻本	体
拆分：亻弗	佛
拆分：亻丶	佟
拆分：亻用	佣
拆分：亻瓦	佤
拆分：人一	佥
拆分：亻羊	佯
拆分：亻丶	佻
拆分：亻乛	侃
拆分：亻亏	侉
拆分：亻丨	侪
拆分：亻农	侬
拆分：亻母	侮
拆分：亻我	俄
拆分：亻求	俅
拆分：亻用	俑
拆分：亻丽	俪
拆分：亻丿	修
拆分：亻𧘇	俵
拆分：亻丨	俸
拆分：亻㠯	倌
拆分：亻廾	倴
拆分：亻乛	偈
拆分：亻乛	偡
拆分：亻禺	偶
拆分：亻乀	像
拆分：亻尤	僦
拆分：一人	僰
拆分：亻一	僵
拆分：亻𧘇	儴
拆分：𠂊丶	兔
拆分：凹儿	兕
拆分：八乛	兮
拆分：丘八	兵
拆分：冖与	写
拆分：冖丶	冤
拆分：夂丶	冬
拆分：冫互	冱
拆分：冫中	冲
拆分：冫口	减
拆分：冫斤	凘
拆分：乛几	凳
拆分：刀丶	刃
拆分：勹刂	刨
拆分：乛刂	刭
拆分：一刂	到
拆分：一刂	刺
拆分：一刂	剅
拆分：束刂	剌
拆分：非刂	剕
拆分：力丶	办
拆分：万力	劢
拆分：少力	劣
拆分：乛力	劲
拆分：勹厶	勾
拆分：勹冫	匀
拆分：勹巳	包
拆分：十办	协
拆分：丶下	卞
拆分：口卜	卟
拆分：丨口	占
拆分：丨尸	卢
拆分：土卜	卦
拆分：丿乛	卮
拆分：厂斤	厮
拆分：厶丿	参
拆分：丿又	反
拆分：上又	叔
拆分：口丨	叫
拆分：口乛	号
拆分：口刁	叼
拆分：口乞	吃
拆分：丿口	后
拆分：一乀	吏
拆分：丿口	向
拆分：口下	吓
拆分：口丫	吖
拆分：尹口	君
拆分：口乛	吟
拆分：不口	否
拆分：口屯	吨
拆分：口斤	听
拆分：口丨	吲
拆分：口少	吵
拆分：口及	吸
拆分：口乛	吼
拆分：口牙	呀
拆分：口乛	呓
拆分：口太	呔
拆分：口乂	呕
拆分：口乌	呜
拆分：口母	呣
拆分：口瓜	呱
拆分：口甲	呷
拆分：口丕	呸
拆分：口申	呻
拆分：口乎	呼
拆分：口巾	咂
拆分：口必	咇
拆分：禾口	和
拆分：口永	咏
拆分：口卜	咔
拆分：口龙	咙
拆分：口丶	咚
拆分：口羊	咩
拆分：口一	咺
拆分：口尹	咿
拆分：口王	哐
拆分：口亚	哑
拆分：口农	哝
拆分：口勺	哟
拆分：口廾	哢
拆分：口我	哦
拆分：口斤	哳
拆分：口甫	哺
拆分：口了	哼
拆分：口丨	唪
拆分：口专	啭
拆分：口凵	啮
拆分：口禺	喁
拆分：口口	喊
拆分：口乛	喝
拆分：口一	喧
拆分：口一	喳
拆分：口丨	嗝
拆分：口母	嗨
拆分：口业	嘘
拆分：口丿	嘭
拆分：口禹	嘱
拆分：口斤	嘶
拆分：口一	噎
拆分：口一	噔
拆分：口乛	噶
拆分：口豕	嚎
拆分：口𧘇	囔
拆分：囗才	团
拆分：囗屯	囤
拆分：囗韦	围
拆分：囗丶	图
拆分：囗甫	圃
拆分：土乞	圪
拆分：土亏	圬
拆分：土也	地
拆分：土川	圳
拆分：土丿	场
拆分：土斤	圻
拆分：土及	圾
拆分：土屯	坉
拆分：土不	坏
拆分：丨土	坚
拆分：土乌	坞
拆分：土申	坤
拆分：土一	坦
拆分：土瓜	坬
拆分：土丕	坯
拆分：土氐	坻
拆分：土斥	坼
拆分：土聿	垏
拆分：丿土	垕
拆分：土羊	垟
拆分：土一	垣
拆分：亚土	垩
拆分：土亚	垭
拆分：土亏	垮
拆分：土凵	垴
拆分：土丨	垿
拆分：土用	埆
拆分：土用	埇
拆分：土成	城
拆分：土甫	埔
拆分：土丿	埗
拆分：土丶	堍
拆分：土乛	堨
拆分：土乛	堪
拆分：土弓	塆
拆分：土丨	塥
拆分：丶土	塱
拆分：土丨	墉
拆分：土乞	墘
拆分：土业	墟
拆分：车土	墼
拆分：丨土	壑
拆分：土豕	壕
拆分：士丿	声
拆分：士业	壶
拆分：士亚	壸
拆分：士一	壹
拆分：夂卜	处
拆分：夕卜	外
拆分：大丶	太
拆分：丿大	夭
拆分：丶大	头
拆分：大亏	夸
拆分：大川	夼
拆分：大乂	奁
拆分：爿大	奘
拆分：女乃	奶
拆分：女也	她
拆分：女勺	妁
拆分：女壬	妊
拆分：女开	妍
拆分：女乛	妗
拆分：女少	妙
拆分：女丨	妤
拆分：女乂	妪
拆分：女由	妯
拆分：女一	妲
拆分：女母	姆
拆分：女丿	姊
拆分：禾女	委
拆分：女开	姘
拆分：女丶	姚
拆分：女丨	姬
拆分：女一	姮
拆分：女亏	姱
拆分：女亚	娅
拆分：女毛	娓
拆分：女丿	娣
拆分：女我	娥
拆分：耳女	娶
拆分：女𧘇	婊
拆分：女㠯	婠
拆分：女凵	婳
拆分：女申	婶
拆分：丿女	媭
拆分：女豕	嫁
拆分：女乎	嫭
拆分：女一	嬗
拆分：子乛	孔
拆分：乃子	孕
拆分：禾子	季
拆分：子瓜	孤
拆分：不子	孬
拆分：卵子	孵
拆分：宀九	宄
拆分：宀必	宓
拆分：宀由	宙
拆分：宀龙	宠
拆分：宀申	审
拆分：宀一	宣
拆分：宀臣	宦
拆分：宀丨	宧
拆分：宀成	宬
拆分：宀豕	家
拆分：宀丶	寒
拆分：宀禺	寓
拆分：丨丶	小
拆分：小大	尖
拆分：小小	尜
拆分：尢勺	尥
拆分：尢丨	尬
拆分：亠尤	就
拆分：尸九	尻
拆分：尺丶	尽
拆分：尸毛	尾
拆分：尸世	屉
拆分：尸由	届
拆分：尸开	屏
拆分：尸禹	属
拆分：山乞	屹
拆分：山与	屿
拆分：山牙	岈
拆分：山及	岌
拆分：山开	岍
拆分：山乛	岑
拆分：山乂	岖
拆分：山巨	岠
拆分：山由	岫
拆分：山甲	岬
拆分：山民	岷
拆分：山丶	峂
拆分：山一	峘
拆分：山我	峨
拆分：山金	崟
拆分：山斤	崭
拆分：山女	崴
拆分：山亏	崿
拆分：山乛	嵁
拆分：山口	嵅
拆分：禾山	嵇
拆分：山禺	嵎
拆分：山一	嵖
拆分：山丨	嶙
拆分：山一	嶝
拆分：辶乛	巡
拆分：乛果	巢
拆分：工乛	巧
拆分：工凡	巩
拆分：丿巾	币
拆分：巾凡	帆
拆分：巾韦	帏
拆分：巾长	帐
拆分：巾开	帡
拆分：巾乀	幪
拆分：广丨	序
拆分：广一	应
拆分：广氐	底
拆分：广由	庙
拆分：广龙	庞
拆分：广丶	废
拆分：广羊	庠
拆分：广尺	庹
拆分：廴乛	延
拆分：廴聿	建
拆分：一廾	开
拆分：弓厶	弘
拆分：丷丿	弟
拆分：弓又	弢
拆分：弓小	弥
拆分：弓幺	弦
拆分：弓口	弨
拆分：女弓	弩
拆分：弓耳	弭
拆分：弓冫	弱
拆分：弓小	弶
拆分：弓月	弸
拆分：弓丨	弹
拆分：弓虫	强
拆分：开丿	形
拆分：丹丿	彤
拆分：丿丿	彩
拆分：立丿	彰
拆分：日丿	影
拆分：彳羊	徉
拆分：彳聿	律
拆分：忄乛	忆
拆分：上心	忐
拆分：下心	忑
拆分：忄亡	忙
拆分：忄中	忡
拆分：忄尤	忧
拆分：忄卞	忭
拆分：忄屯	忳
拆分：忄斤	忻
拆分：忄不	怀
拆分：忄乂	怄
拆分：忄长	怅
拆分：忄一	怛
拆分：忄弗	怫
拆分：忄术	怵
拆分：忄一	恒
拆分：亚心	恶
拆分：忄凵	恼
拆分：忄廾	悈
拆分：忄丿	悌
拆分：忄母	悔
拆分：且心	悬
拆分：忄亡	惘
拆分：忄丿	惨
拆分：忄斤	惭
拆分：禾心	愁
拆分：忄一	愃
拆分：民心	愍
拆分：忄乛	慌
拆分：匚心	慝
拆分：来心	慭
拆分：忄丨	慵
拆分：忄一	憕
拆分：戈廾	戒
拆分：丨戈	战
拆分：乃戈	戤
拆分：亚戈	戬
拆分：户十	戽
拆分：一丿	才
拆分：扌乛	扎
拆分：扌卜	扑
拆分：扌乃	扔
拆分：扌丸	执
拆分：扌丿	扬
拆分：扌尤	扰
拆分：扌氏	扺
拆分：扌屯	扽
拆分：扌少	抄
拆分：扌丨	抒
拆分：扌爪	抓
拆分：扌不	抔
拆分：扌十	抖
拆分：扌斤	折
拆分：扌专	抟
拆分：扌乂	抠
拆分：扌氐	抵
拆分：扌申	抻
拆分：扌甲	押
拆分：扌由	抽
拆分：扌民	抿
拆分：扌弗	拂
拆分：扌一	担
拆分：扌斥	拆
拆分：扌母	拇
拆分：扌巨	拒
拆分：扌也	拖
拆分：扌龙	拢
拆分：扌卜	拤
拆分：扌用	拥
拆分：扌丶	拨
拆分：扌一	拯
拆分：扌乛	拷
拆分：扌开	拼
拆分：扌曳	拽
拆分：人手	拿
拆分：丰手	挈
拆分：扌亏	挎
拆分：扌丶	挑
拆分：扌手	挚
拆分：扌丨	挤
拆分：氵手	挲
拆分：扌用	捅
拆分：扌甫	捕
拆分：扌丨	捧
拆分：丿手	掣
拆分：扌丿	掺
拆分：扌乛	揕
拆分：扌乛	揭
拆分：扌一	揸
拆分：扌丶	搀
拆分：扌开	摒
拆分：扌手	撑
拆分：扌斤	撕
拆分：扌串	撺
拆分：扌一	擅
拆分：艹手	擎
拆分：扌丨	擤
